微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MBVH24xV3,大家不能背后骂人，因为嘴长在脸上。——@zb_Misaka  ,,无,无,无,2023-04-14 00:10,橘色pop子HarmonyOS设备,141,3,14
MBVEuvbgy,在9键里，宅＝自爱。——@一秒钟哲学家  ,,无,无,无,2023-04-14 00:04,橘色pop子HarmonyOS设备,92,3,36
MBOPM6P5D,只通过wifi训练出的AI应该不会跳绳——@这个名太没意思了  ,,无,无,无,2023-04-13 18:43,橘色pop子HarmonyOS设备,440,8,21
MBOl7dRLB,老罗安知鱼之乐？罗非鱼。——@谐霸  ,,无,无,无,2023-04-13 17:27,橘色pop子HarmonyOS设备,259,7,16
MBMkraGnU,我花了一下午纠正同事人力资源是HR而不是SB——@猴子改了ID  ,,无,无,无,2023-04-13 12:20,橘色pop子HarmonyOS设备,817,31,41
MBHo1DtZx,哑巴和盲人打乒乓球，此时无声胜有声——@2k不忠实玩家  ,,无,无,无,2023-04-12 23:45,橘色pop子HarmonyOS设备,254,11,30
MBGHi2rsq,＂为什么医院看牙这么贵？＂＂因为用的器械都是进口的＂ ——@2k不忠实玩家  ,,无,无,无,2023-04-12 22:00,橘色pop子HarmonyOS设备,422,9,25
MBGo4j9Xh,我喜欢上班后再加个班，所以我喜欢上班班——@2k不忠实玩家  ,,无,无,无,2023-04-12 21:13,橘色pop子HarmonyOS设备,202,6,20
MBFePyKP3,中午跟同事在食堂吃饭的时候看着电视新闻，他转头问我知不知道什么是外交理论。我脑子里瞬间思维大爆炸，闪过什么“弱国无外交”、什么“和平共处五项原则”、甚至是什么“黑暗森林法则”。同时我很诧异不知道什么时候，他知识水平竟变得如此渊博，正当我沉浸在为自己的无知而感到愧疚的时候，他指着这个酥饼说：“今天这个饼做的就是外交理论。”——@Siri男友的弟弟                                 ,,无,无,无,2023-04-12 18:17,橘色pop子HarmonyOS设备,46133,7157,1355
MBEHHjdFk,为什么人出生之后要别人想名字，自己想不行吗？——@央原子  ,,无,无,无,2023-04-12 16:56,橘色pop子HarmonyOS设备,888,15,57
MBExX0ghP,让网红测评网红食品不会徇私吗？——@一秒钟哲学家  ,,无,无,无,2023-04-12 16:32,橘色pop子HarmonyOS设备,210,0,25
MBEpDpnxc,“虽然我孩子弄坏你东西，但他毕竟还是个孩子。”“所以现在打死他，你再要一个也不迟。”——@一秒钟哲学家  ,,无,无,无,2023-04-12 16:11,橘色pop子HarmonyOS设备,785,28,22
MBEgGr7OS,____是美国警察的主打哥。——@饭希fanxi  ,,无,无,无,2023-04-12 15:49,橘色pop子HarmonyOS设备,264,6,25
MBDKdyF5n,“你笑个P啊！”“:P”——@茶色如茵月华似水LunaSHiNE  ,,无,无,无,2023-04-12 14:29,橘色pop子HarmonyOS设备,490,30,31
MBCO133N7,参军被子要叠豆腐块，小明叫苦不叠。——@肉肉lin  ,,无,无,无,2023-04-12 12:06,橘色pop子HarmonyOS设备,626,19,56
MBuNC4zCf,发表《雾都孤儿》后，狄更斯因涉嫌侵犯名誉权被雾起诉——@山声盈晚楼  ,,无,无,无,2023-04-11 15:43,橘色pop子HarmonyOS设备,632,14,53
MBu5b8SUS,明星写真，有的好看，有的难看，有的少写一横。——@一秒钟哲学家  ,,无,无,无,2023-04-11 13:53,橘色pop子HarmonyOS设备,679,14,64
MBtt0Agsj,为什么汗血马很贵，血汗工人却很便宜——@靓仔富贵爱萌萌  ,,无,无,无,2023-04-11 12:19,橘色pop子HarmonyOS设备,1496,61,82
MBsUPzDut,老师给我记大过，能过几门课啊？——@默然夜  ,,无,无,无,2023-04-11 10:55,橘色pop子HarmonyOS设备,675,16,31
MBsS06IU0,“才玩了一会儿就放了两铳。”山上描述自己的犯案经过。——@超-威-蓝-猫  ,,无,无,无,2023-04-11 10:48,橘色pop子HarmonyOS设备,250,8,22
MBoxIe8Go,要是都不加班，哪来的路灯照亮我们的道路？——@SorakaWolpis  ,,无,无,无,2023-04-10 23:47,橘色pop子HarmonyOS设备,718,24,32
